,05分位,50分位,90分位,范围
0.26,27.94%,55.48%,66.89%,27.94%-66.89%
0.24,25.80%,51.21%,61.75%,25.80%-61.75%
0.22,23.66%,46.99%,56.62%,23.66%-56.62%
0.2,21.51%,42.70%,51.51%,21.51%-51.51%
0.18,19.33%,38.41%,46.33%,19.33%-46.33%
0.16,17.17%,34.12%,41.19%,17.17%-41.19%
0.15,16.11%,31.99%,38.62%,16.11%-38.62%
0.14,15.09%,29.99%,36.03%,15.09%-36.03%
0.13,14.02%,27.85%,33.46%,14.02%-33.46%
0.12,12.91%,25.53%,30.79%,12.91%-30.79%
0.11,11.82%,23.39%,28.25%,11.82%-28.25%
0.1,10.74%,21.22%,25.65%,10.74%-25.65%
0.09,9.64%,19.06%,23.07%,9.64%-23.07%
0.08,8.53%,16.87%,20.42%,8.53%-20.42%
0.07,7.48%,14.73%,17.83%,7.48%-17.83%
0.06,6.38%,12.54%,15.20%,6.38%-15.20%
0.05,5.26%,10.33%,12.52%,5.26%-12.52%
0.04,4.17%,8.16%,9.97%,4.17%-9.97%
0.03,3.13%,5.98%,7.32%,3.13%-7.32%
