,05分位,50分位,90分位
0.03,0.03133077929649108,0.05976777349257755,0.07315159059210347
0.04,0.041659548454999674,0.08162564319735738,0.09965463766725248
0.05,0.05262300778064797,0.1032523584349649,0.1251995609082294
0.06,0.06378072463067896,0.12542892543545017,0.15196131432350157
0.07,0.07482688645090622,0.14730788038269083,0.17829203262809404
0.08,0.08525477110149848,0.16872953886045003,0.20422113745168027
0.09,0.09639670390207422,0.19059531029765012,0.2306815320706695
0.1,0.10739848121616526,0.21223234696870794,0.2564841758264902
0.11,0.11822058687701306,0.23386674165246643,0.28249838060295734
0.12,0.12908384179007704,0.2553039073731509,0.3079483427836852
0.13,0.14015849606880945,0.2785110458039236,0.3346173880718352
0.14,0.15092329252202932,0.29994576862760824,0.3603217768465555
0.15,0.16114437737619366,0.31989394486159456,0.3861516899612693
0.16,0.17168934212691905,0.34118801116930353,0.4118658259164547
0.18,0.19330890278593624,0.38409798218932717,0.46332494995241635
0.2,0.2151250923803154,0.4270334299105117,0.5150646021625446
0.22,0.2365978424076382,0.4699233830048465,0.5662053462282812
0.24,0.25800185436208206,0.5121047190347607,0.6175036582406396
